[2022-01-22 11:33:04,272][train_graph.py][line:146][INFO] arch: pointNN_graph
base_lr: 0.0005
block_size: 1.0
classes: 13
cuda: True
data_name: s3dis
data_root: /data0/texture_data/yaohualiu/PublicDataset/s3dis
epochs: 100
evaluate: True
feature_dim: 6
ignore_label: 255
is_restart: 1
log_root: /Code/PycharmProjects/pythonProject/3DSemantic/ANTennaSeg3D/log/s3dis_graph
manual_seed: 123
momentum: 0.9
multiplier: 0.5
names_path: list/s3dis_names.txt
num_point: 10000
pcd_save_path: pred_pcd
print_freq: 100
resume: None
sample_rate: 1.0
save_freq: 1
save_path: checkpoints_graph
selected_epoch: 36
split: val
start_epoch: 0
step_epoch: 20
stride_rate: 0.5
sync_bn: False
test_area: 5
test_batch_size: 1
test_gpu: [1]
test_list: list/val5.txt
test_list_full: list/val5_full.txt
test_log: test.log
test_tensorboard_path: tb_test
test_workers: 1
train_batch_size: 1
train_batch_size_val: 1
train_full_folder: trainval_fullarea
train_gpu: [1]
train_list: list/train12346.txt
train_log: train.log
train_tensorboard_path: tb_train
train_workers: 1
use_xyz: True
val_list: list/val5.txt
voxel_max: 0
voxel_size: 0
weight: None
weight_decay: 0.0001
writer_root: /Code/PycharmProjects/pythonProject/3DSemantic/ANTennaSeg3D/writer/s3dis_graph
[2022-01-22 11:33:04,281][s3dis_short.py][line:36][INFO] S3DIS init ... 
[2022-01-22 11:33:50,479][s3dis_short.py][line:68][INFO] Totally 19491 samples in train set.
[2022-01-22 11:44:07,169][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4000/19491] | RunningLoss:181.48651 | AllAcc:0.46890 | mIoU:0.13972 | mAcc:0.26111 | Time:0.0096
[2022-01-22 11:44:18,095][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4100/19491] | RunningLoss:180.48200 | AllAcc:0.44860 | mIoU:0.12659 | mAcc:0.23854 | Time:0.0060
[2022-01-22 11:44:32,651][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4200/19491] | RunningLoss:177.36256 | AllAcc:0.43820 | mIoU:0.12086 | mAcc:0.19072 | Time:0.0086
[2022-01-22 11:44:45,414][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4300/19491] | RunningLoss:173.43017 | AllAcc:0.31990 | mIoU:0.05102 | mAcc:0.12085 | Time:0.0062
[2022-01-22 11:44:58,129][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4400/19491] | RunningLoss:169.93051 | AllAcc:0.27470 | mIoU:0.07670 | mAcc:0.14947 | Time:0.0060
[2022-01-22 11:45:09,203][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4500/19491] | RunningLoss:178.52984 | AllAcc:0.36740 | mIoU:0.11993 | mAcc:0.22727 | Time:0.0069
[2022-01-22 11:45:22,485][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4600/19491] | RunningLoss:166.17884 | AllAcc:0.34530 | mIoU:0.11255 | mAcc:0.19093 | Time:0.0074
[2022-01-22 11:45:34,736][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4700/19491] | RunningLoss:169.96535 | AllAcc:0.56600 | mIoU:0.14058 | mAcc:0.22323 | Time:0.0082
[2022-01-22 11:45:44,446][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4800/19491] | RunningLoss:167.55653 | AllAcc:0.42680 | mIoU:0.15709 | mAcc:0.29138 | Time:0.0055
[2022-01-22 11:45:56,081][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[4900/19491] | RunningLoss:161.98004 | AllAcc:0.45360 | mIoU:0.09478 | mAcc:0.16743 | Time:0.0058
[2022-01-22 11:46:07,739][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5000/19491] | RunningLoss:173.03708 | AllAcc:0.39000 | mIoU:0.10552 | mAcc:0.15909 | Time:0.0059
[2022-01-22 11:46:20,960][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5100/19491] | RunningLoss:172.49774 | AllAcc:0.40850 | mIoU:0.12009 | mAcc:0.21635 | Time:0.0067
[2022-01-22 11:46:30,285][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5200/19491] | RunningLoss:174.79505 | AllAcc:0.53880 | mIoU:0.12730 | mAcc:0.18377 | Time:0.0057
[2022-01-22 11:46:40,912][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5300/19491] | RunningLoss:168.22646 | AllAcc:0.39170 | mIoU:0.09073 | mAcc:0.14028 | Time:0.0097
[2022-01-22 11:46:55,085][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5400/19491] | RunningLoss:175.41747 | AllAcc:0.51750 | mIoU:0.13968 | mAcc:0.24260 | Time:0.0054
[2022-01-22 11:47:08,854][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5500/19491] | RunningLoss:161.42675 | AllAcc:0.62410 | mIoU:0.13993 | mAcc:0.22144 | Time:0.0053
[2022-01-22 11:47:21,371][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5600/19491] | RunningLoss:167.73687 | AllAcc:0.53350 | mIoU:0.12693 | mAcc:0.18342 | Time:0.0071
[2022-01-22 11:47:31,628][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5700/19491] | RunningLoss:164.22160 | AllAcc:0.30420 | mIoU:0.09212 | mAcc:0.19637 | Time:0.0095
[2022-01-22 11:47:44,638][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5800/19491] | RunningLoss:172.17200 | AllAcc:0.39100 | mIoU:0.10539 | mAcc:0.20600 | Time:0.0079
[2022-01-22 11:47:54,961][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[5900/19491] | RunningLoss:166.42500 | AllAcc:0.42490 | mIoU:0.12863 | mAcc:0.22349 | Time:0.0082
[2022-01-22 11:48:07,162][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6000/19491] | RunningLoss:167.77694 | AllAcc:0.35740 | mIoU:0.07001 | mAcc:0.13695 | Time:0.0074
[2022-01-22 11:48:19,067][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6100/19491] | RunningLoss:175.59690 | AllAcc:0.35590 | mIoU:0.10122 | mAcc:0.19733 | Time:0.0081
[2022-01-22 11:48:31,645][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6200/19491] | RunningLoss:161.37856 | AllAcc:0.28620 | mIoU:0.06270 | mAcc:0.12896 | Time:0.0057
[2022-01-22 11:48:45,576][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6300/19491] | RunningLoss:154.58959 | AllAcc:0.40040 | mIoU:0.05805 | mAcc:0.11303 | Time:0.0125
[2022-01-22 11:48:55,915][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6400/19491] | RunningLoss:172.23224 | AllAcc:0.71620 | mIoU:0.15760 | mAcc:0.22329 | Time:0.0072
[2022-01-22 11:49:10,020][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6500/19491] | RunningLoss:167.57187 | AllAcc:0.51420 | mIoU:0.14346 | mAcc:0.22180 | Time:0.0075
[2022-01-22 11:49:20,277][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6600/19491] | RunningLoss:158.34206 | AllAcc:0.28690 | mIoU:0.05717 | mAcc:0.13552 | Time:0.0095
[2022-01-22 11:49:32,686][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6700/19491] | RunningLoss:161.60690 | AllAcc:0.51800 | mIoU:0.11374 | mAcc:0.19783 | Time:0.0072
[2022-01-22 11:49:45,416][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6800/19491] | RunningLoss:165.11859 | AllAcc:0.32790 | mIoU:0.06458 | mAcc:0.11459 | Time:0.0077
[2022-01-22 11:49:55,524][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[6900/19491] | RunningLoss:158.15698 | AllAcc:0.49340 | mIoU:0.14970 | mAcc:0.26823 | Time:0.0061
[2022-01-22 11:50:08,800][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7000/19491] | RunningLoss:154.09016 | AllAcc:0.37290 | mIoU:0.09310 | mAcc:0.15066 | Time:0.0065
[2022-01-22 11:50:18,626][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7100/19491] | RunningLoss:160.25401 | AllAcc:0.22750 | mIoU:0.06527 | mAcc:0.13415 | Time:0.0062
[2022-01-22 11:50:33,681][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7200/19491] | RunningLoss:162.76219 | AllAcc:0.46300 | mIoU:0.09998 | mAcc:0.17331 | Time:0.0094
[2022-01-22 11:50:45,615][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7300/19491] | RunningLoss:155.32819 | AllAcc:0.44870 | mIoU:0.07690 | mAcc:0.13098 | Time:0.0078
[2022-01-22 11:50:57,160][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7400/19491] | RunningLoss:169.20102 | AllAcc:0.57650 | mIoU:0.18195 | mAcc:0.28053 | Time:0.0052
[2022-01-22 11:51:09,803][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7500/19491] | RunningLoss:156.53605 | AllAcc:0.53250 | mIoU:0.11906 | mAcc:0.20597 | Time:0.0094
[2022-01-22 11:51:23,513][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7600/19491] | RunningLoss:152.05552 | AllAcc:0.47500 | mIoU:0.09790 | mAcc:0.15978 | Time:0.0087
[2022-01-22 11:51:34,640][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7700/19491] | RunningLoss:161.56918 | AllAcc:0.54490 | mIoU:0.14657 | mAcc:0.21877 | Time:0.0075
[2022-01-22 11:51:46,464][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7800/19491] | RunningLoss:161.34463 | AllAcc:0.58310 | mIoU:0.15244 | mAcc:0.23588 | Time:0.0061
[2022-01-22 11:51:57,918][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[7900/19491] | RunningLoss:153.71838 | AllAcc:0.48270 | mIoU:0.09749 | mAcc:0.17383 | Time:0.0072
[2022-01-22 11:52:10,809][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8000/19491] | RunningLoss:157.93827 | AllAcc:0.50850 | mIoU:0.15024 | mAcc:0.26291 | Time:0.0074
[2022-01-22 11:52:24,062][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8100/19491] | RunningLoss:159.18194 | AllAcc:0.33430 | mIoU:0.07722 | mAcc:0.19540 | Time:0.0072
[2022-01-22 11:52:34,626][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8200/19491] | RunningLoss:150.75127 | AllAcc:0.60630 | mIoU:0.12504 | mAcc:0.18860 | Time:0.0065
[2022-01-22 11:52:45,316][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8300/19491] | RunningLoss:151.70321 | AllAcc:0.40110 | mIoU:0.10215 | mAcc:0.20459 | Time:0.0077
[2022-01-22 11:52:58,130][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8400/19491] | RunningLoss:145.05540 | AllAcc:0.56590 | mIoU:0.18023 | mAcc:0.28809 | Time:0.0071
[2022-01-22 11:53:10,173][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8500/19491] | RunningLoss:157.66505 | AllAcc:0.50970 | mIoU:0.11570 | mAcc:0.17407 | Time:0.0062
[2022-01-22 11:53:22,312][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8600/19491] | RunningLoss:152.31638 | AllAcc:0.57720 | mIoU:0.14252 | mAcc:0.20644 | Time:0.0077
[2022-01-22 11:53:36,950][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8700/19491] | RunningLoss:147.52841 | AllAcc:0.67060 | mIoU:0.16876 | mAcc:0.22694 | Time:0.0074
[2022-01-22 11:53:47,308][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8800/19491] | RunningLoss:147.13460 | AllAcc:0.64290 | mIoU:0.17369 | mAcc:0.23513 | Time:0.0074
[2022-01-22 11:54:00,139][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[8900/19491] | RunningLoss:163.73725 | AllAcc:0.42050 | mIoU:0.11662 | mAcc:0.22712 | Time:0.0052
[2022-01-22 11:54:15,374][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9000/19491] | RunningLoss:152.67320 | AllAcc:0.58730 | mIoU:0.13701 | mAcc:0.19711 | Time:0.0062
[2022-01-22 11:54:27,476][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9100/19491] | RunningLoss:150.33516 | AllAcc:0.56740 | mIoU:0.12837 | mAcc:0.19551 | Time:0.0063
[2022-01-22 11:54:39,798][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9200/19491] | RunningLoss:157.80090 | AllAcc:0.53450 | mIoU:0.08430 | mAcc:0.12676 | Time:0.0095
[2022-01-22 11:54:54,051][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9300/19491] | RunningLoss:148.53506 | AllAcc:0.25850 | mIoU:0.08544 | mAcc:0.18954 | Time:0.0116
[2022-01-22 11:55:03,447][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9400/19491] | RunningLoss:150.74198 | AllAcc:0.53520 | mIoU:0.12033 | mAcc:0.20675 | Time:0.0077
[2022-01-22 11:55:14,382][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9500/19491] | RunningLoss:150.90481 | AllAcc:0.59990 | mIoU:0.18494 | mAcc:0.28232 | Time:0.0089
[2022-01-22 11:55:23,937][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9600/19491] | RunningLoss:153.71295 | AllAcc:0.72730 | mIoU:0.19331 | mAcc:0.24537 | Time:0.0072
[2022-01-22 11:55:34,851][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9700/19491] | RunningLoss:153.13080 | AllAcc:0.38060 | mIoU:0.08365 | mAcc:0.15953 | Time:0.0061
[2022-01-22 11:55:46,712][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9800/19491] | RunningLoss:154.69317 | AllAcc:0.59000 | mIoU:0.19084 | mAcc:0.27544 | Time:0.0064
[2022-01-22 11:55:59,505][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[9900/19491] | RunningLoss:149.98782 | AllAcc:0.50260 | mIoU:0.17976 | mAcc:0.28419 | Time:0.0070
[2022-01-22 11:56:11,945][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[10000/19491] | RunningLoss:154.27646 | AllAcc:0.33440 | mIoU:0.10261 | mAcc:0.21625 | Time:0.0088
[2022-01-22 11:56:24,902][train_graph.py][line:86][INFO] EPOCH:[1/100] | Batch:[10100/19491] | RunningLoss:155.82161 | AllAcc:0.23330 | mIoU:0.06365 | mAcc:0.17593 | Time:0.0074
